,zip_code,beschikbare_capaciteit_invoeding_huidig_mva,beschikbare_capaciteit_afname_huidig_mva,station_lat,station_long,center_vlak_lat,center_vlak_long,area_vlak,distance_to_station,name
733,3196 KK,76.0,42.0,51.882384145369876,4.329314833138298,51.88552754626405,4.327263689070209,3654.0979244214277,376.8168078074166,Vondelingenweg 66 kV
734,3196 KK,76.0,42.0,51.882384145369876,4.329314833138298,51.876103554596575,4.26970142036138,235670.19601065692,4151.206652874573,Vondelingenweg 66 kV
735,3196 KK,76.0,42.0,51.882384145369876,4.329314833138298,51.86989659045071,4.281583269987165,18596.11630557555,3558.7342683871257,Vondelingenweg 66 kV
736,3196 KK,76.0,42.0,51.882384145369876,4.329314833138298,51.893755117838666,4.377849454826273,146.75367024677024,3562.8114904017375,Vondelingenweg 66 kV
737,3196 KK,76.0,42.0,51.882384145369876,4.329314833138298,51.881396564957505,4.257666651865427,66377.35688256258,4919.07897078465,Vondelingenweg 66 kV
738,3196 KK,76.0,42.0,51.882384145369876,4.329314833138298,51.89518820381345,4.381334114154872,15021.163861659708,3843.42904785921,Vondelingenweg 66 kV
739,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.823268649392425,4.653728227341005,850.1097537337449,537.5264632420996,Walburg 50 kV 50 kV
740,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.82415586825988,4.6416229774911715,26.22266117414873,1333.4990710192885,Walburg 50 kV 50 kV
741,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.82678816650508,4.6497996472901075,60.356410513456844,789.9689003599308,Walburg 50 kV 50 kV
742,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.82380583251311,4.651856680727864,24.440667998943354,642.3842115170359,Walburg 50 kV 50 kV
743,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.82170659413916,4.648905431979182,8.858324481524681,910.776616613753,Walburg 50 kV 50 kV
744,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.823558242090435,4.647548547061163,42.39834192406668,937.938624489109,Walburg 50 kV 50 kV
745,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.82621761609079,4.64281481949733,20.124672508925084,1253.5718857457628,Walburg 50 kV 50 kV
746,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.82658502355342,4.658812952482997,28.378692584335845,221.60665981553024,Walburg 50 kV 50 kV
747,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.82604485986183,4.655208114527709,40.260109685749235,409.36141032049636,Walburg 50 kV 50 kV
748,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.82511120704642,4.660959279041018,1950.5147616839265,1.1947590628177818,Walburg 50 kV 50 kV
749,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.83055047560784,4.661461579389783,18241.257953284185,606.888815447275,Walburg 50 kV 50 kV
750,3332 CE,75.0,21.0,51.82510120659945,4.660965636639583,51.82853696863752,4.662801703301176,6677.197514391991,402.3374351136273,Walburg 50 kV 50 kV
751,4551 LA,73.0,34.0,51.264627853610605,3.8295279213518705,51.26419065195272,3.8289542565699293,31951.987507572998,62.900950217375765,Westdorpe 50 kV
